"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"11106","FBgn0031431",2.034627805,2.222347112,5.070663309,0.000995069,0.001150969,-1.231364841
"11107","FBgn0033932",1.004784308,1.263978087,5.068251837,0.000998024,0.001154282,-1.090815757
"11108","FBgn0266172",1.239799747,1.314137237,5.065533276,0.001001366,0.001158044,-1.124099603
"11109","FBgn0028987",-2.517834115,-2.305396959,-5.065152421,0.001001836,0.001158482,-0.774857221
"11110","FBgn0002570",-2.506195762,-2.545094632,-5.063617298,0.00100373,0.001160568,-0.777732226
"11111","FBgn0063496",-2.030825729,-2.097995463,-5.063485098,0.001003893,0.001160652,-0.815070221
"11112","FBgn0037014",1.009548181,1.128625058,5.060853193,0.00100715,0.001164313,-1.100790484
"11113","FBgn0053822",-2.214277022,-3.305447569,-5.058729314,0.001009786,0.00116694,-0.806534452
"11114","FBgn0053825",-2.214277022,-3.305447569,-5.058729314,0.001009786,0.00116694,-0.806534452
"11115","FBgn0053828",-2.214277022,-3.305447569,-5.058729314,0.001009786,0.00116694,-0.806534452
"11116","FBgn0053831",-2.214277022,-3.305447569,-5.058729314,0.001009786,0.00116694,-0.806534452
"11117","FBgn0039490",-1.747653622,-1.985533678,-5.057979301,0.001010719,0.001167913,-0.843898544
"11118","FBgn0039454",-1.760121971,-2.609351893,-5.057539528,0.001011266,0.001168441,-0.84430364
"11119","FBgn0038566",-2.196923618,-2.410808005,-5.05686227,0.00101211,0.00116931,-0.810678069
"11120","FBgn0261502",2.710009021,3.15502287,5.054536431,0.001015013,0.001172559,-1.371738144
"11121","FBgn0029986",1.600265268,1.738225343,5.049751125,0.001021015,0.001179386,-1.194329878
"11122","FBgn0036089",2.15081729,2.368177218,5.042620628,0.00103003,0.001189693,-1.288107037
"11123","FBgn0040649",2.067221872,2.398729651,5.03026271,0.001045861,0.001207807,-1.290714015
"11124","FBgn0261580",1.945665397,2.235145452,5.030231251,0.001045901,0.001207807,-1.271904626
"11125","FBgn0263386",-2.029364391,-2.040473208,-5.014252632,0.001066767,0.001231792,-0.879797024
"11126","FBgn0038579",-1.483134042,-1.167064816,-5.011009093,0.001071058,0.001236636,-0.927888652
"11127","FBgn0085191",1.650162641,1.784707442,5.00312093,0.001081572,0.001248663,-1.263653117
"11128","FBgn0036832",1.986149351,2.276776859,4.999681025,0.001086193,0.001253885,-1.31911846
"11129","FBgn0067311",-1.697915682,-1.506127749,-4.997153952,0.001089601,0.001257706,-0.929155408
"11131","FBgn0032377",1.590360399,1.858227235,4.991683261,0.001097019,0.001266041,-1.269594232
"11132","FBgn0036881",2.849709349,6.456499566,4.988314315,0.001101614,0.00127123,-1.481421303
"11133","FBgn0039180",-2.667917022,-2.617459755,-4.98736319,0.001102915,0.001272618,-0.866618597
"11134","FBgn0030918",1.743317326,1.679008791,4.984357073,0.001107039,0.001277261,-1.301525598
"11135","FBgn0262846",1.528730301,1.381031997,4.9829332,0.001108998,0.001279406,-1.274803338
"11136","FBgn0259918",2.296494107,3.347792468,4.979651427,0.001113528,0.001284517,-1.395241517
"11137","FBgn0259185",-1.361693396,-1.495405018,-4.979442996,0.001113816,0.001284734,-0.979972606
"11138","FBgn0040674",2.252668885,2.664981755,4.978361988,0.001115313,0.001286345,-1.390560129
"11139","FBgn0263078",2.385691301,2.780015429,4.978210871,0.001115523,0.001286471,-1.414058366
"11140","FBgn0030880",3.299339008,1.805270337,4.976012961,0.001118574,0.001289864,-1.581935292
