"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1404","FBgn0086357",9.016227487,8.765486665,81.93837977,6.98e-13,6.39e-12,20.17017499
"1430","FBgn0264089",8.583476433,8.613562602,81.36351686,7.38e-13,6.63e-12,20.1158148
"1464","FBgn0004167",8.758226505,8.595839802,80.73003974,7.85e-13,6.88e-12,20.07010938
"1502","FBgn0002719",8.531856796,8.470750565,80.17540406,8.29e-13,7.09e-12,20.01933126
"1504","FBgn0039562",9.627056678,9.517035444,80.1296289,8.33e-13,7.11e-12,20.03055665
"1535","FBgn0263289",8.584111475,8.609454618,79.69335982,8.69e-13,7.28e-12,19.98195362
"1574","FBgn0262737",9.701996746,9.775766335,79.00367634,9.31e-13,7.6e-12,19.93853552
"1600","FBgn0039682",9.028989953,9.142460381,78.5371034,9.76e-13,7.83e-12,19.89513336
"1629","FBgn0011661",8.809775423,8.568413137,78.11624073,1.02e-12,8.03e-12,19.85665472
"1656","FBgn0034802",9.672020968,9.756292979,77.65428274,1.07e-12,8.27e-12,19.82492748
"1659","FBgn0039830",9.663366173,10.05133791,77.62411852,1.07e-12,8.28e-12,19.8223125
"1716","FBgn0002306",8.501378122,8.671600608,76.79011318,1.17e-12,8.73e-12,19.73618416
"1770","FBgn0027835",9.520683945,9.343896027,76.01620157,1.26e-12,9.17e-12,19.68243157
"1799","FBgn0035772",9.029446674,8.72862212,75.32805546,1.36e-12,9.69e-12,19.61831475
"1820","FBgn0001142",9.579289071,9.107455845,75.03482237,1.4e-12,9.87e-12,19.5955607
"1827","FBgn0011225",8.635646874,8.727233019,74.93336878,1.41e-12,9.94e-12,19.57683688
"1855","FBgn0087007",8.937793794,8.813372742,74.46800634,1.49e-12,1.03e-11,19.54014384
"1901","FBgn0011224",9.023364743,9.08292347,73.73251375,1.61e-12,1.09e-11,19.47396463
"1912","FBgn0014002",10.3599775,10.134162,73.59872287,1.63e-12,1.1e-11,19.46906747
"1943","FBgn0020309",8.542706224,8.578529928,73.12429655,1.72e-12,1.13e-11,19.40977143
"1964","FBgn0029990",10.39924905,10.06063973,72.81234935,1.78e-12,1.16e-11,19.39606318
"1967","FBgn0016930",8.648749193,8.458395645,72.76343279,1.79e-12,1.17e-11,19.37862892
"1973","FBgn0085446",8.640409199,8.4457269,72.70304363,1.8e-12,1.17e-11,19.37283254
"2017","FBgn0039257",10.17928198,10.11175623,72.30207398,1.88e-12,1.2e-11,19.34659639
"2019","FBgn0041094",9.130059765,8.979472745,72.28717197,1.88e-12,1.2e-11,19.34013471
"2039","FBgn0028327",8.840300985,8.667600346,71.98414829,1.94e-12,1.22e-11,19.30839056
"2093","FBgn0053196",9.501061538,9.453528878,71.26668702,2.1e-12,1.29e-11,19.24438106
"2139","FBgn0035478",9.472525806,5.038763963,70.39781401,2.32e-12,1.39e-11,19.15952346
"2158","FBgn0261113",8.830614195,8.822584746,70.02303173,2.42e-12,1.44e-11,19.11803447
"2233","FBgn0010217",9.693629605,10.1028133,68.77638307,2.79e-12,1.6e-11,18.99804009
"2234","FBgn0035173",8.559108019,8.171913335,68.76713827,2.79e-12,1.6e-11,18.9877545
